cycle,stage,time,state,action,controller,brain,move_status,move_mode,boss_x,boss_y,boss_z,home_x,home_y,home_z,target,player,player_hp,context_revision
0,1,0.0083,0,0,CountessBossAIController_1,1,0,3,0.00,0.00,220.00,0.00,0.00,220.00,None,BP_TPCCharacter_C_0,10000.0,1
0,1,0.0250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,219.86,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.0417,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,219.73,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.0583,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,219.32,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.0750,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,218.64,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.0917,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,217.69,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.1083,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,216.46,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.1250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,214.96,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,2
0,1,0.1417,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,213.19,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.1583,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,211.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.1750,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,208.84,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.1917,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,206.25,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.2083,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,203.39,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.2250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,200.26,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.2417,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,196.86,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,3
0,1,0.2583,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,193.19,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.2750,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,189.24,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.2917,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,185.02,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.3083,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,180.53,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.3250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,175.76,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.3417,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,170.73,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.3583,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,165.42,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,4
0,1,0.3750,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,159.84,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.3917,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,153.99,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4083,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,147.86,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,141.46,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4417,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,134.79,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4583,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,127.85,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4750,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,120.64,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,5
0,1,0.4917,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,113.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5083,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,105.39,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5250,1,0,CountessBossAIController_1,1,0,3,0.00,0.00,97.36,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.5917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,6
0,1,0.6083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.6250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.6417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.6583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.6750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.6917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.7083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,7
0,1,0.7250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.7417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.7583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.7750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.7917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.8083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.8250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,8
0,1,0.8417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.8583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.8750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.8917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.9083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.9250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.9417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,9
0,1,0.9583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,0.9750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,0.9917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,1.0083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,1.0250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,1.0417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,1.0583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,10
0,1,1.0750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.0917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,11
0,1,1.1917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.2917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,12
0,1,1.3083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.3250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.3417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.3583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.3750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.3917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.4083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,13
0,1,1.4250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.4417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.4583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.4750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.4917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.5083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.5250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,14
0,1,1.5417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.5583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.5750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.5917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.6083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.6250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.6417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,15
0,1,1.6583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.6750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.6917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.7083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.7250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.7417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.7583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,16
0,1,1.7750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.7917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,17
0,1,1.8917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,1.9917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,18
0,1,2.0083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.0250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.0417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.0583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.0750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.0917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.1083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,19
0,1,2.1250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.1417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.1583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.1750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.1917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.2083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.2250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,20
0,1,2.2417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.2583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.2750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.2917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.3083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.3250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.3417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,21
0,1,2.3583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.3750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.3917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.4083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.4250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.4417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.4583,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,22
0,1,2.4750,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,23
0,1,2.4917,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,23
0,1,2.5083,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,23
0,1,2.5250,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,23
0,1,2.5417,1,0,CountessBossAIController_1,1,0,1,0.00,0.00,98.15,0.00,0.00,220.00,BP_TPCCharacter_C_0,BP_TPCCharacter_C_0,10000.0,23
